日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2016-01-04,4.96,4.98,4.58,4.59,-0.38,-7.65,690126,33254,8.05,0.72
2016-01-05,4.50,4.68,4.42,4.62,0.03,0.65,884869,40491,5.66,0.92
2016-01-06,4.63,5.00,4.61,4.91,0.29,6.28,1225229,59286,8.44,1.28
2016-01-07,4.81,4.82,4.42,4.44,-0.47,-9.57,317123,14739,8.15,0.33
2016-01-08,4.56,4.88,4.45,4.88,0.44,9.91,2117465,101444,9.68,2.21
2016-01-11,4.84,4.90,4.45,4.55,-0.33,-6.76,1661669,77855,9.22,1.73
2016-01-12,4.52,4.64,4.45,4.59,0.04,0.88,753173,34439,4.18,0.79
2016-01-13,4.60,4.80,4.55,4.57,-0.02,-0.44,1207680,56502,5.45,1.26
2016-01-14,4.45,4.70,4.31,4.68,0.11,2.41,848374,38388,8.53,0.89
2016-01-15,4.59,4.66,4.32,4.40,-0.28,-5.98,1080159,47996,7.27,1.13
2016-01-18,4.30,4.49,4.25,4.38,-0.02,-0.45,577054,25312,5.45,0.60
2016-01-19,4.37,4.54,4.35,4.51,0.13,2.97,594132,26544,4.34,0.62
2016-01-20,4.48,4.56,4.36,4.44,-0.07,-1.55,733589,32707,4.43,0.77
2016-01-21,4.37,4.54,4.35,4.36,-0.08,-1.80,781203,34521,4.28,0.82
2016-01-22,4.39,4.47,4.24,4.37,0.01,0.23,847244,37040,5.28,0.88
2016-01-25,4.38,4.44,4.34,4.37,0.00,0.00,764002,33512,2.29,0.80
2016-01-26,4.33,4.35,3.94,3.98,-0.39,-8.92,863140,36023,9.38,0.90
2016-01-27,4.01,4.04,3.65,3.85,-0.13,-3.27,814869,31517,9.80,0.85
2016-01-28,3.83,3.88,3.49,3.60,-0.25,-6.49,821594,30380,10.13,0.86
2016-01-29,3.66,3.81,3.62,3.76,0.16,4.44,665365,24744,5.28,0.69
2016-02-01,3.78,3.79,3.55,3.67,-0.09,-2.39,590263,21744,6.38,0.62
2016-02-02,3.64,4.04,3.64,4.04,0.37,10.08,1129073,43932,10.90,1.18
2016-02-03,4.04,4.32,3.95,4.07,0.03,0.74,1502409,61140,9.16,1.57
2016-02-04,4.03,4.20,4.03,4.07,0.00,0.00,930711,38207,4.18,0.97
2016-02-05,4.07,4.09,3.95,3.96,-0.11,-2.70,661492,26478,3.44,0.69
2016-02-15,3.86,4.08,3.80,4.02,0.06,1.52,626510,24698,7.07,0.65
2016-02-16,3.99,4.15,3.98,4.11,0.09,2.24,794764,32468,4.23,0.83
2016-02-17,4.08,4.17,4.06,4.13,0.02,0.49,741664,30487,2.68,0.77
2016-02-18,4.14,4.28,4.12,4.17,0.04,0.97,1083684,45514,3.87,1.13
2016-02-19,4.13,4.26,4.08,4.20,0.03,0.72,819952,34144,4.32,0.86
2016-02-22,4.23,4.62,4.15,4.54,0.34,8.10,2135022,94702,11.19,2.23
2016-02-23,4.51,4.60,4.42,4.54,0.00,0.00,1330873,60096,3.96,1.39
2016-02-24,4.50,4.62,4.47,4.55,0.01,0.22,1382507,62737,3.30,1.44
2016-02-25,4.51,4.66,4.28,4.34,-0.21,-4.62,1683468,75050,8.35,1.76
2016-02-26,4.38,4.68,4.30,4.64,0.30,6.91,1562539,70490,8.76,1.63
2016-02-29,4.54,4.54,4.28,4.50,-0.14,-3.02,1160820,51241,5.60,1.21
2016-03-01,4.51,4.60,4.28,4.42,-0.08,-1.78,2092080,92792,7.11,2.18
2016-03-02,4.31,4.74,4.28,4.68,0.26,5.88,2221333,101295,10.41,2.32
