日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2016-01-04,5.77,5.78,5.57,5.60,-0.18,-3.11,610415,34513,3.63,0.64
2016-01-05,5.52,5.66,5.50,5.58,-0.02,-0.36,654196,36487,2.86,0.68
2016-01-06,5.58,5.64,5.56,5.64,0.06,1.08,493285,27663,1.43,0.51
2016-01-07,5.60,5.61,5.47,5.49,-0.15,-2.66,159018,8778,2.48,0.17
2016-01-08,5.58,5.63,5.45,5.54,0.05,0.91,845955,47055,3.28,0.88
2016-01-11,5.49,5.52,5.29,5.30,-0.24,-4.33,890531,48358,4.15,0.93
2016-01-12,5.34,5.37,5.26,5.27,-0.03,-0.57,534471,28396,2.08,0.56
2016-01-13,5.34,5.34,5.19,5.20,-0.07,-1.33,494774,26050,2.85,0.52
2016-01-14,5.10,5.23,5.07,5.21,0.01,0.19,655227,33678,3.08,0.68
2016-01-15,5.18,5.18,5.06,5.09,-0.12,-2.30,617509,31593,2.30,0.64
2016-01-18,5.02,5.09,5.02,5.04,-0.05,-0.98,611951,30931,1.38,0.64
2016-01-19,5.05,5.19,5.05,5.15,0.11,2.18,512199,26229,2.78,0.53
2016-01-20,5.13,5.15,5.05,5.09,-0.06,-1.17,546003,27809,1.94,0.57
2016-01-21,5.06,5.17,5.03,5.03,-0.06,-1.18,560594,28487,2.75,0.58
2016-01-22,5.07,5.08,5.01,5.05,0.02,0.40,418712,21130,1.39,0.44
2016-01-25,5.05,5.08,5.01,5.07,0.02,0.40,520329,26250,1.39,0.54
2016-01-26,5.05,5.06,4.87,4.87,-0.20,-3.94,826394,41080,3.75,0.86
2016-01-27,4.93,4.93,4.76,4.83,-0.04,-0.82,910873,44036,3.49,0.95
2016-01-28,4.82,4.82,4.72,4.75,-0.08,-1.66,509785,24300,2.07,0.53
2016-01-29,4.75,4.85,4.72,4.81,0.06,1.26,1048269,50229,2.74,1.09
2016-02-01,4.80,4.80,4.66,4.70,-0.11,-2.29,870188,41033,2.91,0.91
2016-02-02,4.70,4.76,4.68,4.73,0.03,0.64,565088,26736,1.70,0.59
2016-02-03,4.70,4.71,4.64,4.68,-0.05,-1.06,601337,28048,1.48,0.63
2016-02-04,4.68,4.73,4.68,4.71,0.03,0.64,641905,30196,1.07,0.67
2016-02-05,4.71,4.72,4.68,4.69,-0.02,-0.42,546961,25663,0.85,0.57
2016-02-15,4.60,4.65,4.56,4.62,-0.07,-1.49,574523,26454,1.92,0.60
2016-02-16,4.64,4.76,4.63,4.73,0.11,2.38,1005670,47296,2.81,1.05
2016-02-17,4.72,4.74,4.68,4.73,0.00,0.00,1119817,52780,1.27,1.17
2016-02-18,4.74,4.75,4.71,4.72,-0.01,-0.21,1094078,51795,0.85,1.14
2016-02-19,4.72,4.73,4.68,4.69,-0.03,-0.64,750365,35278,1.06,0.78
2016-02-22,4.71,4.84,4.70,4.78,0.09,1.92,1491860,71059,2.99,1.56
2016-02-23,4.78,4.78,4.69,4.73,-0.05,-1.05,978000,46298,1.88,1.02
