日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2016-01-04,4.58,4.59,4.44,4.45,-0.13,-2.84,1475087,66936,3.28,0.05
2016-01-05,4.42,4.51,4.38,4.47,0.02,0.45,1606293,71548,2.92,0.06
2016-01-06,4.45,4.52,4.45,4.51,0.04,0.89,1131773,50816,1.57,0.04
2016-01-07,4.49,4.50,4.42,4.43,-0.08,-1.77,344915,15371,1.77,0.01
2016-01-08,4.44,4.49,4.40,4.46,0.03,0.68,1861345,82789,2.03,0.07
2016-01-11,4.43,4.43,4.31,4.32,-0.14,-3.14,1647021,72204,2.69,0.06
2016-01-12,4.36,4.38,4.31,4.32,0.00,0.00,1157543,50231,1.62,0.04
2016-01-13,4.35,4.35,4.29,4.30,-0.02,-0.46,1015444,43930,1.39,0.04
2016-01-14,4.26,4.31,4.21,4.31,0.01,0.23,1310475,55926,2.33,0.05
2016-01-15,4.29,4.30,4.21,4.23,-0.08,-1.86,1011908,43021,2.09,0.04
2016-01-18,4.19,4.25,4.17,4.19,-0.04,-0.95,1194841,50241,1.89,0.04
2016-01-19,4.19,4.27,4.18,4.25,0.06,1.43,981358,41509,2.15,0.04
2016-01-20,4.25,4.25,4.17,4.22,-0.03,-0.71,1065847,44863,1.88,0.04
2016-01-21,4.20,4.26,4.18,4.18,-0.04,-0.95,846016,35677,1.90,0.03
2016-01-22,4.21,4.22,4.18,4.22,0.04,0.96,846965,35591,0.96,0.03
2016-01-25,4.22,4.25,4.20,4.23,0.01,0.24,627690,26487,1.18,0.02
2016-01-26,4.21,4.22,4.05,4.08,-0.15,-3.55,1123814,46474,4.02,0.04
2016-01-27,4.09,4.15,4.06,4.11,0.03,0.74,1524786,62544,2.21,0.06
2016-01-28,4.10,4.10,4.02,4.05,-0.06,-1.46,901993,36628,1.95,0.03
2016-01-29,4.04,4.12,4.03,4.10,0.05,1.23,1375856,56110,2.22,0.05
2016-02-01,4.09,4.09,4.00,4.03,-0.07,-1.71,1040283,41980,2.20,0.04
2016-02-02,4.02,4.07,4.00,4.05,0.02,0.50,926456,37458,1.74,0.03
2016-02-03,4.02,4.03,3.97,4.01,-0.04,-0.99,779352,31136,1.48,0.03
2016-02-04,4.02,4.04,4.00,4.02,0.01,0.25,735629,29572,1.00,0.03
2016-02-05,4.02,4.03,4.00,4.01,-0.01,-0.25,712044,28579,0.75,0.03
2016-02-15,3.94,3.99,3.93,3.97,-0.04,-1.00,582266,23070,1.50,0.02
2016-02-16,3.98,4.06,3.98,4.05,0.08,2.02,853280,34406,2.02,0.03
2016-02-17,4.04,4.06,4.02,4.04,-0.01,-0.25,840847,33960,0.99,0.03
2016-02-18,4.05,4.07,4.04,4.06,0.02,0.50,884365,35878,0.74,0.03
2016-02-19,4.04,4.05,4.01,4.02,-0.04,-0.99,940799,37888,0.99,0.03
2016-02-22,4.04,4.11,4.02,4.08,0.06,1.49,1317209,53554,2.24,0.05
2016-02-23,4.08,4.08,4.03,4.05,-0.03,-0.74,691484,27980,1.23,0.03
2016-02-24,4.04,4.06,4.02,4.05,0.00,0.00,745898,30165,0.99,0.03
2016-02-25,4.05,4.08,4.00,4.01,-0.04,-0.99,2212645,89457,1.98,0.08
2016-02-26,4.01,4.05,4.00,4.02,0.01,0.25,1158265,46610,1.25,0.04
2016-02-29,4.01,4.04,3.89,4.03,0.01,0.25,1832342,72641,3.73,0.07
2016-03-01,4.02,4.03,3.98,4.03,0.00,0.00,854620,34240,1.24,0.03
2016-03-02,4.03,4.12,4.01,4.11,0.08,1.99,2080789,84651,2.73,0.08
2016-03-03,4.10,4.14,4.08,4.13,0.02,0.49,1497689,61499,1.46,0.06
2016-03-04,4.12,4.33,4.09,4.31,0.18,4.36,4093033,173324,5.81,0.15
2016-03-07,4.27,4.31,4.24,4.29,-0.02,-0.46,1353112,57884,1.62,0.05
2016-03-08,4.26,4.34,4.21,4.33,0.04,0.93,1694172,72408,3.03,0.06
2016-03-09,4.28,4.42,4.26,4.41,0.08,1.85,1884682,81679,3.70,0.07
2016-03-10,4.36,4.38,4.32,4.32,-0.09,-2.04,1050441,45642,1.36,0.04
2016-03-11,4.30,4.34,4.26,4.34,0.02,0.46,1003135,43100,1.85,0.04
2016-03-14,4.34,4.34,4.29,4.30,-0.04,-0.92,1999208,86130,1.15,0.07
2016-03-15,4.29,4.29,4.22,4.26,-0.04,-0.93,1552033,65949,1.63,0.06
2016-03-16,4.24,4.35,4.23,4.32,0.06,1.41,2904651,125169,2.82,0.11
2016-03-17,4.30,4.31,4.26,4.29,-0.03,-0.69,1560984,66865,1.16,0.06
2016-03-18,4.30,4.30,4.24,4.30,0.01,0.23,1652225,70702,1.40,0.06
2016-03-21,4.30,4.34,4.28,4.31,0.01,0.23,1353080,58418,1.40,0.05
2016-03-22,4.31,4.33,4.28,4.29,-0.02,-0.46,962657,41409,1.16,0.04
2016-03-23,4.30,4.33,4.28,4.30,0.01,0.23,984468,42438,1.17,0.04
2016-03-24,4.30,4.31,4.25,4.26,-0.04,-0.93,737965,31512,1.40,0.03
2016-03-25,4.26,4.28,4.25,4.28,0.02,0.47,373514,15954,0.70,0.01
2016-03-28,4.27,4.30,4.25,4.30,0.02,0.47,767822,32807,1.17,0.03
2016-03-29,4.28,4.30,4.25,4.25,-0.05,-1.16,858684,36681,1.16,0.03
2016-03-30,4.24,4.33,4.24,4.32,0.07,1.65,1426749,61256,2.12,0.05
2016-03-31,4.31,4.33,4.28,4.29,-0.03,-0.69,918631,39475,1.16,0.03
2016-04-01,4.29,4.31,4.26,4.30,0.01,0.23,921204,39494,1.17,0.03
2016-04-05,4.30,4.33,4.28,4.32,0.02,0.47,1000996,43089,1.16,0.04
2016-04-06,4.30,4.31,4.28,4.29,-0.03,-0.69,705707,30321,0.69,0.03
2016-04-07,4.30,4.30,4.26,4.26,-0.03,-0.70,746380,31939,0.93,0.03
2016-04-08,4.25,4.29,4.25,4.26,0.00,0.00,466835,19922,0.94,0.02
2016-04-11,4.26,4.31,4.26,4.29,0.03,0.70,673744,28929,1.17,0.03
2016-04-12,4.29,4.30,4.28,4.28,-0.01,-0.23,481950,20667,0.47,0.02
2016-04-13,4.29,4.34,4.29,4.32,0.04,0.93,1534130,66277,1.17,0.06
2016-04-14,4.33,4.33,4.31,4.31,-0.01,-0.23,440859,19043,0.46,0.02
2016-04-15,4.33,4.33,4.29,4.30,-0.01,-0.23,681584,29372,0.93,0.03
2016-04-18,4.29,4.30,4.26,4.29,-0.01,-0.23,932358,39895,0.93,0.03
2016-04-19,4.29,4.30,4.27,4.29,0.00,0.00,417914,17914,0.70,0.02
2016-04-20,4.29,4.29,4.22,4.29,0.00,0.00,1449117,61686,1.63,0.05
2016-04-21,4.26,4.31,4.25,4.30,0.01,0.23,809912,34700,1.40,0.03
2016-04-22,4.28,4.30,4.27,4.28,-0.02,-0.47,573753,24582,0.70,0.02
