日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2016-01-04,8.34,8.38,8.11,8.13,-0.22,-2.63,477205,39326,3.23,0.03
2016-01-05,8.04,8.21,7.98,8.07,-0.06,-0.74,634336,51347,2.83,0.04
2016-01-06,8.09,8.33,8.05,8.31,0.24,2.97,751008,61542,3.47,0.05
2016-01-07,8.17,8.20,7.70,7.83,-0.48,-5.78,208883,16829,6.02,0.01
2016-01-08,7.96,8.07,7.74,7.99,0.16,2.04,748524,59559,4.21,0.05
2016-01-11,7.90,7.97,7.69,7.70,-0.29,-3.63,559736,43822,3.50,0.03
2016-01-12,7.66,7.84,7.60,7.76,0.06,0.78,471675,36402,3.12,0.03
2016-01-13,7.80,7.81,7.59,7.61,-0.15,-1.93,434720,33543,2.84,0.03
2016-01-14,7.50,7.65,7.43,7.63,0.02,0.26,474282,35730,2.89,0.03
2016-01-15,7.62,7.62,7.30,7.34,-0.29,-3.80,523499,39036,4.19,0.03
2016-01-18,7.14,7.34,7.10,7.27,-0.07,-0.95,383557,27808,3.27,0.02
2016-01-19,7.27,7.44,7.26,7.42,0.15,2.06,428779,31616,2.48,0.03
2016-01-20,7.37,7.55,7.27,7.46,0.04,0.54,468592,34599,3.77,0.03
2016-01-21,7.34,7.47,7.22,7.26,-0.20,-2.68,335344,24658,3.35,0.02
2016-01-22,7.32,7.35,7.18,7.33,0.07,0.96,287104,20920,2.34,0.02
2016-01-25,7.47,7.54,7.36,7.43,0.10,1.36,350289,26098,2.46,0.02
2016-01-26,7.33,7.34,7.04,7.08,-0.35,-4.71,481121,34578,4.04,0.03
2016-01-27,7.15,7.41,6.99,7.28,0.20,2.82,742456,53157,5.93,0.05
2016-01-28,7.19,7.63,7.10,7.44,0.16,2.20,1134526,84287,7.28,0.07
2016-01-29,7.40,7.49,7.34,7.46,0.02,0.27,752912,55855,2.02,0.05
2016-02-01,7.40,7.40,7.19,7.25,-0.21,-2.82,478187,34781,2.82,0.03
2016-02-02,7.24,7.35,7.17,7.32,0.07,0.97,430306,31294,2.48,0.03
2016-02-03,7.21,7.26,7.11,7.22,-0.10,-1.37,374658,26894,2.05,0.02
2016-02-04,7.28,7.35,7.24,7.26,0.04,0.55,368453,26847,1.52,0.02
2016-02-05,7.29,7.30,7.22,7.23,-0.03,-0.41,269561,19567,1.10,0.02
2016-02-15,7.13,7.23,7.09,7.18,-0.05,-0.69,216041,15460,1.94,0.01
2016-02-16,7.21,7.36,7.19,7.35,0.17,2.37,447867,32717,2.37,0.03
2016-02-17,7.30,7.54,7.29,7.52,0.17,2.31,755866,55931,3.40,0.05
2016-02-18,7.54,7.54,7.42,7.43,-0.09,-1.20,662326,49557,1.60,0.04
2016-02-19,7.43,7.47,7.38,7.42,-0.01,-0.13,301207,22360,1.21,0.02
2016-02-22,7.45,7.55,7.43,7.53,0.11,1.48,428600,32159,1.62,0.03
2016-02-23,7.57,7.58,7.46,7.48,-0.05,-0.66,398521,29987,1.59,0.02
2016-02-24,7.45,7.60,7.42,7.53,0.05,0.67,360778,27032,2.41,0.02
2016-02-25,7.52,7.52,7.07,7.08,-0.45,-5.98,692483,50412,5.98,0.04
2016-02-26,7.13,7.35,7.10,7.26,0.18,2.54,641395,46197,3.53,0.04
2016-02-29,7.21,7.30,7.08,7.28,0.02,0.28,654076,46966,3.03,0.04
2016-03-01,7.23,7.34,7.17,7.32,0.04,0.55,340791,24800,2.34,0.02
2016-03-02,7.32,7.55,7.31,7.54,0.22,3.01,711470,53092,3.28,0.04
2016-03-03,7.50,7.60,7.46,7.58,0.04,0.53,537666,40479,1.86,0.03
2016-03-04,7.57,7.85,7.52,7.82,0.24,3.17,1374701,106113,4.35,0.08
2016-03-07,7.75,7.85,7.73,7.78,-0.04,-0.51,499940,38921,1.53,0.03
2016-03-08,7.83,7.86,7.68,7.82,0.04,0.51,538072,41747,2.31,0.03
2016-03-09,7.70,7.82,7.48,7.80,-0.02,-0.26,731037,55858,4.35,0.05
2016-03-10,7.69,7.72,7.60,7.69,-0.11,-1.41,325180,24957,1.54,0.02
2016-03-11,7.60,7.71,7.56,7.69,0.00,0.00,296090,22634,1.95,0.02
2016-03-14,7.72,7.81,7.64,7.75,0.06,0.78,399277,30887,2.21,0.02
2016-03-15,7.78,7.82,7.70,7.79,0.04,0.52,397032,30801,1.55,0.02
2016-03-16,7.76,7.94,7.73,7.89,0.10,1.28,823524,64759,2.70,0.05
2016-03-17,7.89,7.91,7.82,7.88,-0.01,-0.13,373734,29382,1.14,0.02
2016-03-18,7.92,7.94,7.83,7.88,0.00,0.00,724579,57077,1.40,0.04
2016-03-21,7.88,7.90,7.82,7.85,-0.03,-0.38,883628,69398,1.02,0.05
2016-03-22,7.83,7.85,7.77,7.79,-0.06,-0.76,479554,37451,1.02,0.03
2016-03-23,7.79,7.81,7.74,7.78,-0.01,-0.13,312386,24278,0.90,0.02
2016-03-24,7.74,7.74,7.62,7.63,-0.15,-1.93,421638,32369,1.54,0.03
2016-03-25,7.63,7.65,7.56,7.63,0.00,0.00,336245,25591,1.18,0.02
2016-03-28,7.63,7.68,7.57,7.59,-0.04,-0.52,388355,29626,1.44,0.02
2016-03-29,7.58,7.61,7.46,7.48,-0.11,-1.45,466069,35016,1.98,0.03
2016-03-30,7.51,7.75,7.49,7.67,0.19,2.54,798940,61140,3.48,0.05
2016-03-31,7.65,7.68,7.60,7.61,-0.06,-0.78,466719,35613,1.04,0.03
2016-04-01,7.58,7.68,7.51,7.66,0.05,0.66,574414,43637,2.23,0.04
2016-04-05,7.61,7.68,7.56,7.66,0.00,0.00,493144,37627,1.57,0.03
2016-04-06,7.64,7.83,7.63,7.70,0.04,0.52,839982,64903,2.61,0.05
2016-04-07,7.72,7.73,7.58,7.61,-0.09,-1.17,484217,37036,1.95,0.03
2016-04-08,7.58,7.59,7.49,7.52,-0.09,-1.18,385975,29092,1.31,0.02
2016-04-11,7.56,7.66,7.55,7.64,0.12,1.60,514811,39261,1.46,0.03
2016-04-12,7.65,7.68,7.62,7.65,0.01,0.13,360600,27586,0.79,0.02
2016-04-13,7.70,7.84,7.69,7.79,0.14,1.83,858613,66793,1.96,0.05
2016-04-14,7.84,7.85,7.74,7.77,-0.02,-0.26,402957,31366,1.41,0.02
2016-04-15,7.80,7.80,7.72,7.75,-0.02,-0.26,243138,18841,1.03,0.02
2016-04-18,7.68,7.68,7.56,7.59,-0.16,-2.06,343820,26132,1.55,0.02
2016-04-19,7.63,7.66,7.56,7.65,0.06,0.79,275055,20920,1.32,0.02
2016-04-20,7.65,7.69,7.43,7.59,-0.06,-0.78,635918,47904,3.40,0.04
2016-04-21,7.52,7.64,7.52,7.57,-0.02,-0.26,361312,27424,1.58,0.02
2016-04-22,7.53,7.63,7.50,7.58,0.01,0.13,251020,18971,1.72,0.02
2016-04-25,7.55,7.58,7.47,7.56,-0.02,-0.26,204615,15397,1.45,0.01
2016-04-26,7.58,7.58,7.49,7.54,-0.02,-0.26,180850,13631,1.19,0.01
2016-04-27,7.56,7.59,7.52,7.53,-0.01,-0.13,208058,15723,0.93,0.01
2016-04-28,7.54,7.58,7.47,7.53,0.00,0.00,222569,16736,1.46,0.01
2016-04-29,7.45,7.49,7.38,7.42,-0.11,-1.46,374143,27800,1.46,0.02
2016-05-03,7.40,7.51,7.39,7.51,0.09,1.21,292456,21831,1.62,0.02
2016-05-04,7.48,7.51,7.43,7.46,-0.05,-0.67,213059,15899,1.07,0.01
2016-05-05,7.45,7.48,7.42,7.46,0.00,0.00,177455,13212,0.80,0.01
2016-05-06,7.46,7.46,7.34,7.34,-0.12,-1.61,327262,24187,1.61,0.02
2016-05-09,7.32,7.32,7.18,7.20,-0.14,-1.91,347541,25119,1.91,0.02
2016-05-10,7.18,7.22,7.16,7.19,-0.01,-0.14,137132,9860,0.83,0.01
2016-05-11,7.21,7.25,7.18,7.22,0.03,0.42,148519,10720,0.97,0.01
2016-05-12,7.21,7.21,7.14,7.20,-0.02,-0.28,172218,12349,0.97,0.01
2016-05-13,7.20,7.25,7.16,7.19,-0.01,-0.14,210406,15135,1.25,0.01
2016-05-16,7.17,7.20,7.12,7.20,0.01,0.14,132203,9475,1.11,0.01
2016-05-17,7.21,7.25,7.20,7.24,0.04,0.56,178868,12926,0.69,0.01
2016-05-18,7.21,7.22,7.11,7.20,-0.04,-0.55,288083,20628,1.52,0.02
